Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       4/8799331     getboolfield [166]
                0.00    0.00       4/8799331     lua_pcallk [104]
                0.00    0.00       5/8799331     lua_gc [85]
                0.00    0.00      31/8799331     clean_const <cycle 1> [74]
                0.00    0.00     155/8799331     lua_next [47]
                0.00    0.00     193/8799331     value_equal [10]
                0.00    0.00     215/8799331     luaH_free <cycle 1> [43]
                0.00    0.00     256/8799331     list_pop_front <cycle 1> [41]
                0.00    0.00     256/8799331     list_merge [40]
                0.00    0.00  800021/8799331     luaH_gset <cycle 1> [2]
                0.00    0.00  800023/8799331     luaH_del <cycle 1> [13]
                0.02    0.00 3598985/8799331     lua_newuserdata [20]
                0.02    0.00 3599146/8799331     obj_destroy <cycle 1> [14]
[11]     5.8    0.05    0.00 8799331+22      utf8_decode [11]
                                  22             utf8_decode [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     5.5    0.00    0.05                 luaO_pushfstring [12]
                0.02    0.01  800002/14000816     luaH_free <cycle 1> [43]
                0.02    0.01  800002/14000816     luaH_gset <cycle 1> [2]
                0.00    0.00  800002/16800022     const_init [7]
                0.00    0.00       1/14000816     mem_free <cycle 1> [124]
-----------------------------------------------
                              400015             luaH_del <cycle 1> [13]
                                   1             luaH_free <cycle 1> [43]
                                   1             os_time <cycle 1> [185]
                                   2             os_date <cycle 1> [143]
                                  14             lua_tointegerx <cycle 1> [245]
                                  15             lua_tonumberx <cycle 1> [259]
                0.00    0.00       1/14000816     test_then_block [81]
                0.00    0.00       2/14000816     luaL_loadfilex [129]
                0.00    0.00       3/14000816     str_compare [21]
                0.01    0.00  400002/14000816     luaH_setifexist [19]
                0.02    0.01 1200003/14000816     luaV_equalobj [3]
[13]     4.0    0.03    0.00 1600044+400015  luaH_del <cycle 1> [13]
                0.00    0.00  800023/8799331     utf8_decode [11]
                              800000             read_string <cycle 1> [33]
                                  22             clean_const <cycle 1> [74]
                              400015             luaH_del <cycle 1> [13]
-----------------------------------------------
                                   1             setobj2s <cycle 1> [34]
                                   2             list_del <cycle 1> [319]
                                   6             sort_comp <cycle 1> [285]
                                 155             index2addr <cycle 1> [223]
                             3598691             luaH_gset <cycle 1> [2]
                0.00    0.00       1/14000816     test_then_block [81]
                0.00    0.00       1/14000816     luaK_infix [156]
                0.00    0.00     289/14000816     report [36]
[14]     3.5    0.01    0.02 3599146         obj_destroy <cycle 1> [14]
                0.02    0.00 3599146/8799331     utf8_decode [11]
                                  31             read_string <cycle 1> [33]
-----------------------------------------------
                                   9             lua_setmetatable [15]
                0.00    0.00       1/4399431     clean_const <cycle 1> [74]
                0.00    0.00       1/4399431     os_exit [195]
                0.00    0.00       1/4399431     makeseed [194]
                0.00    0.00       1/4399431     luaE_setdebt [144]
                0.00    0.00       1/4399431     luaE_extendCI [26]
                0.00    0.00       1/4399431     exprstat [192]
                0.00    0.00       1/4399431     lua_setuservalue [193]
                0.00    0.00       1/4399431     aux_upvalue [18]
                0.00    0.00       2/4399431     lua_resume <cycle 1> [175]
                0.00    0.00       2/4399431     luaV_execute <cycle 1> [6]
                0.00    0.00       3/4399431     const_init [7]
                0.00    0.00       5/4399431     stackinuse [142]
                0.00    0.00       7/4399431     iscleared [140]
                0.00    0.00       7/4399431     LoadString [139]
                0.00    0.00      11/4399431     varinfo [119]
                0.00    0.00      11/4399431     numarith [118]
                0.00    0.00      11/4399431     lua_pcallk [104]
                0.00    0.00      12/4399431     luaH_del_set [25]
                0.00    0.00      20/4399431     luaD_shrinkstack [90]
                0.00    0.00      22/4399431     luaopen_os [83]
